bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000001,20,0,0.56,0,17,81000,1,4,0.98,8,0,0,,信用,否,自置,6,0.19,0,0
BAD,A000002,20,1,1,2,6,50000,7,12,0.39,5,1,2,0,保证,否,自置,5,0.33,0,0
GOOD,A000003,20,0,0.8,7,7,60000,1,3,0.76,7,0,0,,保证,否,其他,,0.6,0,0
GOOD,A000004,10/MISS,0,0.52,5,0,40000,7,10,0.58,4,0,0,,保证,否,自置,1,0.3,0,0
BAD,A000005,20,1,0.58,3,3,30000,2,3,0.92,6,0,2,,信用,否,自置,11,0.69,0,0
BAD,A000006,10/MISS,1,0.72,0,8,2,2,4,0.88,9,1,5,64.23,保证,否,自置,3,0.12,0,0
BAD,A000007,10/MISS,1,0.54,1,3,709,5,6,0.53,10,0,0,,保证,否,自置,2,0.9,0,0
BAD,A000008,10/MISS,1,0.75,0,4,250000,5,7,0.79,4,0,4,165.32,保证,否,自置,3,1,0,0
BAD,A000009,20,1,0.27,8,10,359865,2,5,0.95,7,0,0,,保证,否,自置,3,0.5,0,1.562380482
BAD,A000010,10/MISS,1,0.74,0,2,100000,7,9,0.22,5,0,1,,保证,否,自置,1,0.1,0,0
BAD,A000011,20,1,0.6,2,8,165000,7,11,0.52,12,0,6,8.93,保证,否,自置,6,0.64,0,0
GOOD,A000012,20,0,0.41,6,7,195000,1,4,0.95,7,0,0,,保证,否,自置,3,0.18,0,0
GOOD,A000013,20,0,0.75,0,8,180000,1,3,0.9,4,0,0,,保证,否,其他,3,0.11,0,0
BAD,A000014,10/MISS,1,0.5,3,0,40000,7,8,0.7,4,0,1,,保证,否,自置,2,0.24,0,0
GOOD,A000015,20,0,0.38,5,8,140888,2,4,0.89,3,0,1,83.37,保证,否,其他,8,0.3,0,0
GOOD,A000016,20,0,0.74,0,2,0,3,6,0.56,5,0,0,,信用,否,自置,10,10,0,2.8128552094
GOOD,A000017,10/MISS,0,0.72,0,4,250000,3,3,0.93,5,1,0,131.08,保证,否,自置,2,0.18,0,0
BAD,A000018,20,1,0.39,0,8,110000,8,10,0.82,4,0,0,,保证,否,自置,7,0.2,0,0
BAD,A000019,10/MISS,1,0.73,0,0,10000,4,5,0.27,4,0,1,,保证,是,其他,11,0.52,0,0
BAD,A000020,20,1,1,4,4,130000,6,8,0.53,1,0,0,,抵押,否,自置,4,0.86,2.67,0
BAD,A000021,20,1,0.55,1,0,10000,7,8,0.36,9,0,1,381.38,保证,否,其他,26,0.21,0,0
BAD,A000022,20,1,0.95,1,1,200000,7,9,0.5,2,1,0,342.69,保证,否,自置,2,1,0,0
GOOD,A000023,20,0,0.51,4,7,256000,1,2,0.98,5,0,0,,保证,否,自置,3,0.33,0,0
GOOD,A000024,10/MISS,0,0,0,0,450000,7,7,0,1,0,0,,保证,否,自置,,0.22,0,0
BAD,A000025,10/MISS,1,0.4,0,0,10100,4,4,0.62,5,0,0,,保证,否,其他,8,0.23,0,0
BAD,A000026,10/MISS,1,1,1,1,7500,3,5,0.84,2,0,0,120.95,保证,否,自置,6,0.7,0,0
BAD,A000027,20,1,1,2,1,80000,6,6,0.84,5,0,0,,保证,否,自置,4,0.7,0,0
BAD,A000028,10/MISS,1,0.4,1,3,50000,7,8,0.92,8,0,1,,保证,否,自置,8,1,0,0
GOOD,A000029,20,0,0.4,3,9,0,1,2,0.95,9,0,0,,保证,否,自置,15,10,0,1.6812948465
GOOD,A000030,10/MISS,0,0.49,4,3,40000,2,3,0.75,4,0,0,,保证,否,自置,1,0.4,0,2.6087489614
GOOD,A000031,20,0,0.48,0,5,49317,2,5,0.83,3,2,1,9.25,保证,是,自置,3,0.26,0,0
BAD,A000032,20,1,0.7,5,9,60000,1,2,0.97,5,0,0,,保证,否,自置,10,0.13,0,0
GOOD,A000033,20,0,1,0,1,200000,7,14,0.2,8,1,1,,保证,否,自置,5,0.19,0,0
BAD,A000034,20,1,0.49,3,9,140000,3,5,0.94,4,0,1,196.53,抵押,否,自置,5,0.2,1.67,0
BAD,A000035,20,1,0.75,3,4,2979,2,4,0.89,7,0,0,137.1,保证,否,自置,3,0.8,0,0
