bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
BAD,A000001,20,1,0.72,0,11,180000,2,3,0.96,7,0,0,,保证,否,自置,2,0.32,0,5.091545997
BAD,A000002,20,1,0.52,6,5,150000,3,8,0.83,4,0,0,,保证,否,自置,6,0.83,0,0
BAD,A000003,10/MISS,1,0.26,0,3,300000,7,14,0.58,8,0,2,,保证,否,自置,1,0.31,0,0
BAD,A000004,10/MISS,1,0.82,1,2,90000,7,10,0.44,4,0,0,118.37,保证,否,自置,6,0.4,0,0
BAD,A000005,20,1,0.2,2,11,180000,3,8,0.86,3,0,1,900.61,保证,否,自置,15,1,0,4.955843435
BAD,A000006,20,1,0.75,3,4,4500,2,3,0.9,4,0,0,305.46,保证,否,自置,4,0.5,0,0
GOOD,A000007,10/MISS,0,0.81,0,4,10000,2,4,0.65,3,0,1,1.44,保证,否,自置,5,0.33,0,0
GOOD,A000008,20,0,1,1,6,50000,1,1,0.94,2,0,0,,保证,否,自置,6,0.1,0,0
GOOD,A000009,20,0,0,1,7,5000,1,1,0.92,0,0,0,,保证,否,自置,3,2.5,0,6.1895742811
BAD,A000010,10/MISS,1,0.62,0,2,50000,3,4,0.55,6,0,1,382.57,保证,否,其他,15,0.29,0,0
GOOD,A000011,20,0,0.53,2,8,100850,2,4,0.91,5,0,1,384.8,保证,否,其他,5,2,0,0
BAD,A000012,10/MISS,1,0.57,0,2,200000,7,10,0.64,8,1,0,,保证,否,其他,5,0.27,0,0
GOOD,A000013,10/MISS,0,0.59,0,1,0,2,3,0.92,6,0,0,,保证,否,自置,13,10,0,1.997845801
BAD,A000014,20,1,0.78,1,2,200000,6,7,0.94,7,0,0,,保证,否,自置,6,0.3,0,0
GOOD,A000015,20,0,0.53,2,5,467100,1,4,0.98,9,0,0,,保证,否,自置,2,0.23,0,0
BAD,A000016,20,1,0.42,0,3,203900,10,6,0.47,10,0,0,,保证,否,自置,18,0.17,0,0
GOOD,A000017,20,0,0.39,3,6,3600,5,6,0.71,9,0,0,,保证,否,自置,14,0.64,0,0
GOOD,A000018,10/MISS,0,0.17,0,0,160000,1,1,0.96,2,0,0,,信用,否,自置,2,0.5,0,0
GOOD,A000019,20,0,0.81,2,6,250000,1,1,0.98,3,0,0,,保证,否,自置,7,1,0,0
GOOD,A000020,20,0,0.69,0,2,50000,1,2,0.94,3,0,0,,信用,否,其他,2,0.4,0,0
GOOD,A000021,10/MISS,0,0.75,0,2,1000,1,2,0.78,3,0,0,,保证,否,自置,10,0.13,0,0
GOOD,A000022,20,0,,,,,,,,,,,,保证,,自置,8,10,0,8
GOOD,A000023,20,0,,,,,,,,,,,,保证,,自置,14,10,0,20
GOOD,A000024,20,0,,,,,,,,,,,,抵押,,自置,10,10,1.03,20
GOOD,A000025,20,0,0.4,1,6,200000,2,4,0.83,8,0,0,,抵押,否,自置,16,0.13,1.5,0
GOOD,A000026,20,0,0.99,2,4,200000,0,2,0.98,3,0,0,594.47,保证,否,自置,2,10,0,5.213157314
GOOD,A000027,20,0,0.42,0,5,180000,1,1,0.98,12,0,0,,信用,否,自置,9,0.23,0,0
GOOD,A000028,20,0,0.5,0,8,189000,0,3,1,4,0,0,236.03,保证,否,自置,1,0.6,0,0
GOOD,A000029,20,0,,,,,,,,,,,,抵押,,自置,9,10,1.43,16.333333333
GOOD,A000030,20,0,,,,,,,,,,,,抵押,,自置,19,10,2.03,12.666666667
